iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
487	248	276	248	340	248	276	340
488	248	276	248	340	248	276	340
489	248	276	248	340	248	276	340
490	248	276	248	340	248	276	340
491	248	276	248	340	248	276	340
492	248	276	248	340	248	276	340
493	248	276	248	340	248	276	340
494	248	276	248	340	248	276	340
495	248	276	248	340	248	276	340
496	248	276	248	340	248	276	340
497	248	276	248	340	248	276	340
498	248	276	248	340	248	276	340
499	248	276	248	340	248	276	340
500	248	276	248	340	248	276	340
501	248	276	248	340	248	276	340
502	248	276	248	340	248	276	340
503	248	276	248	340	248	276	340
504	248	276	248	340	248	276	340
505	248	276	248	340	248	276	340
506	248	276	248	340	248	276	340
507	248	276	248	340	248	276	340
508	248	276	248	340	248	276	340
509	248	276	248	340	248	276	340
510	248	276	248	340	248	276	340
511	248	276	248	340	248	276	340
512	248	276	248	340	248	276	340
513	248	276	248	340	248	276	340
514	248	276	248	340	248	276	340
515	248	276	248	340	248	276	340
516	248	276	248	340	248	276	340
517	248	276	248	340	248	276	340
518	248	276	248	340	248	276	340
519	248	276	248	340	248	276	340
520	248	276	248	340	248	276	340
521	248	276	248	340	248	276	340
522	248	276	248	340	248	276	340
523	248	276	248	340	248	276	340
524	248	276	248	340	248	276	340
525	248	276	248	340	248	276	340
526	248	276	248	340	248	276	340
527	248	276	248	340	248	276	340
528	248	276	248	340	248	276	340
529	248	276	248	340	248	276	340
530	248	276	248	340	248	276	340
531	248	276	248	340	248	276	340
532	248	276	248	340	248	276	340
533	248	276	248	340	248	276	340
534	248	276	248	340	248	276	340
535	248	276	248	340	248	276	340
536	248	276	248	340	248	276	340
537	248	276	248	340	248	276	340
538	248	276	248	340	248	276	340
539	248	276	248	340	248	276	340
540	248	276	248	340	248	276	340
541	248	276	248	340	248	276	340
542	248	276	248	340	248	276	340
543	248	276	248	340	248	276	340
544	248	276	248	340	248	276	340
545	248	276	248	340	248	276	340
546	248	276	248	340	248	276	340
547	248	276	248	340	248	276	340
548	248	276	248	340	248	276	340
549	248	276	248	340	248	276	340
550	248	276	248	340	248	276	340
551	248	276	248	340	248	276	340
552	248	276	248	340	248	276	340
553	248	276	248	340	248	276	340
554	248	276	248	340	248	276	340
555	248	276	248	340	248	276	340
556	248	276	248	340	248	276	340
557	248	276	248	340	248	276	340
558	248	276	248	340	248	276	340
559	248	276	248	340	248	276	340
560	248	276	248	340	248	276	340
561	248	276	248	340	248	276	340
562	248	276	248	340	248	276	340
563	248	276	248	340	248	276	340
564	248	276	248	340	248	276	340
565	248	276	248	340	248	276	340
566	247	272	247	340	247	272	340
567	247	272	247	340	247	272	340
568	247	272	247	340	247	272	340
569	247	272	247	340	247	272	340
570	247	272	247	340	247	272	340
571	247	272	247	340	247	272	340
572	247	272	247	340	247	272	340
573	247	272	247	340	247	272	340
574	247	272	247	340	247	272	340
575	247	272	247	340	247	272	340
576	248	273	248	340	248	273	340
577	248	273	248	340	248	273	340
578	248	273	248	340	248	273	340
579	248	273	248	340	248	273	340
580	247	272	247	340	247	272	340
581	247	272	247	340	247	272	340
582	248	273	248	340	248	273	340
583	248	273	248	340	248	273	340
584	247	272	247	340	247	272	340
585	248	273	248	340	248	273	340
586	248	273	248	340	248	273	340
587	248	273	248	340	248	273	340
588	248	273	248	340	248	273	340
589	248	273	248	340	248	273	340
590	248	273	248	340	248	273	340
591	248	273	248	340	248	273	340
592	248	273	248	340	248	273	340
593	248	273	248	340	248	273	340
594	248	273	248	340	248	273	340
595	248	273	248	340	248	273	340
596	248	273	248	340	248	273	340
597	248	273	248	340	248	273	340
598	248	273	248	340	248	273	340
599	248	273	248	340	248	273	340
600	248	273	248	340	248	273	340
601	248	273	248	340	248	273	340
602	248	273	248	340	248	273	340
603	248	273	248	340	248	273	340
604	248	273	248	340	248	273	340
605	248	273	248	340	248	273	340
606	248	273	248	340	248	273	340
607	248	273	248	340	248	273	340
608	248	273	248	340	248	273	340
609	248	273	248	340	248	273	340
610	249	274	249	340	249	274	340
611	250	275	250	340	250	275	340
612	250	275	250	340	250	275	340
613	250	275	250	340	250	275	340
614	249	274	249	340	249	274	340
615	249	274	249	340	249	274	340
616	249	274	249	340	249	274	340
617	249	274	249	340	249	274	340
618	249	274	249	340	249	274	340
619	249	274	249	340	249	274	340
620	249	274	249	340	249	274	340
621	249	274	249	340	249	274	340
622	249	274	249	340	249	274	340
623	249	274	249	340	249	274	340
624	249	274	249	340	249	274	340
625	249	274	249	340	249	274	340
626	249	274	249	340	249	274	340
627	249	274	249	340	249	274	340
628	249	274	249	340	249	274	340
629	249	274	249	340	249	274	340
630	249	274	249	340	249	274	340
631	249	274	249	340	249	274	340
632	249	274	249	340	249	274	340
633	248	273	248	340	248	273	340
634	249	274	249	340	249	274	340
635	249	274	249	340	249	274	340
636	249	274	249	340	249	274	340
637	249	274	249	340	249	274	340
638	249	274	249	340	249	274	340
639	249	274	249	340	249	274	340
640	250	275	250	340	250	275	340
641	250	275	250	340	250	275	340
642	250	275	250	340	250	275	340
643	250	275	250	340	250	275	340
644	250	275	250	340	250	275	340
645	250	275	250	340	250	275	340
646	250	275	250	340	250	275	340
647	250	275	250	340	250	275	340
648	250	275	250	340	250	275	340
649	250	275	250	340	250	275	340
650	250	275	250	340	250	275	340
651	250	275	250	340	250	275	340
652	250	275	250	340	250	275	340
653	250	275	250	340	250	275	340
654	250	275	250	340	250	275	340
655	250	275	250	340	250	275	340
656	250	275	250	340	250	275	340
657	250	275	250	340	250	275	340
658	250	275	250	340	250	275	340
659	250	275	250	340	250	275	340
660	250	275	250	340	250	275	340
661	250	275	250	340	250	275	340
662	250	275	250	340	250	275	340
663	250	275	250	340	250	275	340
664	250	275	250	340	250	275	340
665	250	275	250	340	250	275	340
666	250	275	250	340	250	275	340
667	250	275	250	340	250	275	340
668	250	275	250	340	250	275	340
669	250	275	250	340	250	275	340
670	250	275	250	340	250	275	340
671	250	275	250	340	250	275	340
672	250	275	250	340	250	275	340
673	250	275	250	340	250	275	340
674	250	275	250	340	250	275	340
675	250	275	250	340	250	275	340
676	250	275	250	340	250	275	340
677	250	275	250	340	250	275	340
678	250	275	250	340	250	275	340
679	250	275	250	340	250	275	340
680	250	275	250	340	250	275	340
681	250	275	250	340	250	275	340
682	250	275	250	340	250	275	340
683	250	275	250	340	250	275	340
684	250	275	250	340	250	275	340
685	250	275	250	340	250	275	340
686	250	275	250	340	250	275	340
687	250	275	250	340	250	275	340
688	250	275	250	340	250	275	340
689	250	275	250	340	250	275	340
690	250	275	250	340	250	275	340
691	253	278	253	340	253	278	340
692	253	278	253	340	253	278	340
693	253	278	253	340	253	278	340
694	253	278	253	340	253	278	340
695	253	278	253	340	253	278	340
696	253	278	253	340	253	278	340
697	253	278	253	340	253	278	340
698	253	278	253	340	253	278	340
699	253	278	253	340	253	278	340
700	253	278	253	340	253	278	340
701	253	278	253	340	253	278	340
702	253	278	253	340	253	278	340
703	253	278	253	340	253	278	340
704	253	278	253	340	253	278	340
705	253	278	253	340	253	278	340
706	253	278	253	340	253	278	340
707	253	278	253	340	253	278	340
708	253	278	253	340	253	278	340
709	253	278	253	340	253	278	340
710	253	278	253	340	253	278	340
711	253	278	253	340	253	278	340
712	253	278	253	340	253	278	340
713	253	278	253	340	253	278	340
714	253	278	253	340	253	278	340
715	253	278	253	340	253	278	340
716	253	278	253	340	253	278	340
717	253	278	253	340	253	278	340
718	253	278	253	340	253	278	340
719	253	278	253	340	253	278	340
720	253	278	253	340	253	278	340
721	253	278	253	340	253	278	340
722	253	278	253	340	253	278	340
723	253	278	253	340	253	278	340
724	253	278	253	340	253	278	340
725	253	278	253	340	253	278	340
726	253	278	253	340	253	278	340
727	253	278	253	340	253	278	340
728	253	278	253	340	253	278	340
729	253	278	253	340	253	278	340
730	253	278	253	340	253	278	340
731	253	278	253	340	253	278	340
732	253	278	253	340	253	278	340
733	253	278	253	340	253	278	340
734	253	278	253	340	253	278	340
735	253	278	253	340	253	278	340
736	253	278	253	340	253	278	340
737	253	278	253	340	253	278	340
738	253	278	253	340	253	278	340
739	253	278	253	340	253	278	340
740	253	278	253	340	253	278	340
741	253	278	253	340	253	278	340
742	253	278	253	340	253	278	340
743	253	278	253	340	253	278	340
744	253	278	253	340	253	278	340
745	253	278	253	340	253	278	340
746	253	278	253	340	253	278	340
747	253	278	253	340	253	278	340
748	253	278	253	340	253	278	340
749	253	278	253	340	253	278	340
750	256	282	256	340	256	282	340
751	256	282	256	340	256	282	340
752	256	282	256	340	256	282	340
753	256	282	256	340	256	282	340
754	256	282	256	340	256	282	340
755	256	282	256	340	256	282	340
756	256	282	256	340	256	282	340
757	256	282	256	340	256	282	340
758	256	282	256	340	256	282	340
759	256	282	256	340	256	282	340
760	256	282	256	340	256	282	340
761	256	282	256	340	256	282	340
762	256	282	256	340	256	282	340
763	256	282	256	340	256	282	340
764	256	282	256	340	256	282	340
765	256	282	256	340	256	282	340
766	256	282	256	340	256	282	340
767	256	282	256	340	256	282	340
768	256	282	256	340	256	282	340
769	258	285	258	340	258	285	340
770	258	285	258	340	258	285	340
771	258	285	258	340	258	285	340
772	258	285	258	340	258	285	340
773	258	285	258	340	258	285	340
774	258	285	258	340	258	285	340
775	258	285	258	340	258	285	340
